id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,96,1,463,2025-09-01,2.69,8,70,23,
197263,Tranquil Room & Private Bath,961396,Timothy,,28806,35.57735,-82.63804,Private room,44,2,90,2025-09-01,0.56,2,88,3,
209068,Terrace Cottage,1029919,Kevin,,28804,35.61764144897461,-82.55181884765625,Entire home/apt,90,30,67,2025-05-03,0.39,1,268,2,
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59615,-82.50635,Private room,62,7,53,2019-10-30,0.31,3,70,0,
314540,Asheville Urban Farmhouse Entire Home 4.6 mi to DT,381660,Tom,,28806,35.58561,-82.62731,Entire home/apt,221,1,36,2025-06-23,0.22,1,180,7,
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49088,-82.48602,Entire home/apt,148,2,47,2023-09-04,0.30,1,359,0,
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",478398,Heidi,,28801,35.60153,-82.5604,Entire home/apt,,2,410,2024-06-26,2.53,3,0,0,
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28806,35.56921,-82.57349,Entire home/apt,104,1,834,2025-09-07,6.24,2,307,38,
483396,Frida Inspired Home,467421,Camille,,28806,35.57039,-82.57359,Entire home/apt,143,2,71,2025-06-26,0.44,2,276,1,
621243,"The Birdhouse
Sweet suite! Downtown Roof top deck!",3079174,Molly,,28801,35.60415,-82.54893,Entire home/apt,137,30,150,2025-09-01,1.64,1,270,4,
660702,Cozy Asheville Retreat,3335271,Brady,,28804,35.621288,-82.553017,Entire home/apt,59,1,844,2025-08-29,7.22,1,338,45,
674894,Lovely mountain home with a view!,614610,Linda,,28805,35.62277,-82.50258,Private room,52,2,258,2025-07-27,1.71,2,302,1,
723349,#2 Blue Ridge Room at Oakland Cottage B&B,3736218,Mary,,28801,35.57468,-82.55705,Private room,247,2,14,2022-11-27,0.10,7,325,0,
815068,"Lovely cottage 10 minutes north, quiet.",1111171,Thomas,,28804,35.64371,-82.52456,Entire home/apt,64,30,313,2025-03-31,2.01,1,81,1,
840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,4390477,Michael,,28801,35.58371,-82.56111,Entire home/apt,241,2,605,2025-09-01,3.91,1,347,11,
846221,Town and Mountain Peaceful Retreat,4418555,Bart,,28804,35.643550872802734,-82.51139831542969,Entire home/apt,169,2,125,2024-07-28,0.82,1,178,0,
875735,Asheville artist  bungalow. 3 minutes to downtown,4632589,Jason,,28805,35.58513,-82.50484,Private room,50,2,226,2025-09-17,1.52,1,360,9,
881707,West A'ville sanctuary in the trees,4664726,Maria,,28806,35.56754,-82.59657,Entire home/apt,82,2,1118,2025-09-17,7.67,2,331,72,
942934,"""ZenShe"" ... Very Clean, Quiet and Convenient",5100332,Pat,,28806,35.57244,-82.58949,Private room,68,2,705,2025-09-21,4.62,1,153,19,
943832,"Asheville Historic Cottage, Walk To Town",5107042,Terri,,28806,35.60991,-82.57838,Entire home/apt,193,3,158,2025-07-28,1.05,2,348,1,
976034,Urban Peace 5 ml from Downtown AVL,5340154,Ar,,28803,35.55542,-82.48316,Entire home/apt,127,2,173,2024-09-01,1.14,1,264,0,
977054,The Cottage In Asheville,4302936,Anne,,28804,35.61467361450195,-82.55661010742188,Entire home/apt,98,30,83,2025-09-08,0.55,1,106,2,
